date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:21	73401/73401	---M-Z	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:20%20GMT	https://osc.gov/Pages/DOW.aspx	/Users/zo/websites/doe/osc.gov/Pages/DOW.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:28:22	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Jan%202017%2015:28:21%20GMT	http://www.whitehouse.gov/	/Users/zo/websites/doe/www.whitehouse.gov/index.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:28:22	20237/20237	---M-Z	200	added ('OK')	application/x-javascript	etag:%22209a76266b0b13102bfb0b2e6fe3b96b:1482966358%22	https://dap.digitalgov.gov/Universal-Federated-Analytics-Min.js?agency=DOE	/Users/zo/websites/doe/dap.digitalgov.gov/Universal-Federated-Analytics-Mind939.js	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:28:23	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Mon,%2023%20Jan%202017%2015:28:22%20GMT	http://www.usa.gov/	/Users/zo/websites/doe/www.usa.gov/index.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:28:23	2929/2929	---M--	200	added ('OK')	text/plain	etag:%22b71-5465389578f00%22	https://www.w3.org/robots.txt		(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:28:23	23707/23707	---M-Z	200	added ('OK')	text/html	etag:%22||324295|en|1|Sunburst%20Theme|0|1484055587.66%22	https://www.directives.doe.gov/	/Users/zo/websites/doe/www.directives.doe.gov/index.html	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:28:26	709153/709153	---M--	200	added ('OK')	application/pdf	etag:%2225cc46-ad221-53428280f97c0%22	https://www.inl.gov/wp-content/uploads/2016/05/Revised-Guide-Partnering-with-National-Labs-Final.pdf	/Users/zo/websites/doe/www.inl.gov/wp-content/uploads/2016/05/Revised-Guide-Partnering-with-National-Labs-Final.pdf	(from https://www.energy.gov/technologytransitions/office-technology-transitions)
16:28:27	32188/32188	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:24%20GMT	https://www.energy.gov/technologytransitions/downloads/annual-report-technology-transfer-and-related-technology-partnering	/Users/zo/websites/doe/www.energy.gov/technologytransitions/downloads/annual-report-technology-transfer-and-related-technology-partnering.html	(from https://www.energy.gov/technologytransitions/us-department-energys-clean-energy-investment-center)
16:28:31	39626/39626	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:28%20GMT	https://www.energy.gov/technologytransitions/downloads/doe-public-private-consortia	/Users/zo/websites/doe/www.energy.gov/technologytransitions/downloads/doe-public-private-consortia.html	(from https://www.energy.gov/technologytransitions/evidence-based-evaluations)
16:28:34	30295/30295	---MC-	200	added ('OK')	text/html	date:Mon,%2023%20Jan%202017%2015:28:32%20GMT	https://www.energy.gov/technologytransitions/technology-transfer-working-group-ttwg	/Users/zo/websites/doe/www.energy.gov/technologytransitions/technology-transfer-working-group-ttwg.html	(from https://www.energy.gov/technologytransitions/stakeholder-engagement)
